id,name,description,type,domain,gender,aliases,residence,theoi_url,level1,level2,level3,level4,level5
Q930198,Achaemenides,son of Adamastus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q607170,Achaeus,"Greek mythological figure, son of Xuthus",Mythological Greek Character,[],male,['Achaeus'],,,Mythological Greek Character,,,,
Q555521,Achates,"character of Roman mythology, close friend of Aeneas",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q391379,Achelous,river god in Greek mythology,Potamoi,['Achelous River'],male,"['Achilaos', 'Acheloüs', 'Acheloos']",,https://www.theoi.com/Potamos/PotamosAkheloios.html,Mythological Greek Character,Greek deity,Greek water deities,Potamoi,
Q12626619,Acheron,"god of river of underworld, Greek mythology",Potamoi,['Acheron'],male,['Acheron'],,https://www.theoi.com/Khthonios/PotamosAkheron.html,Mythological Greek Character,Greek deity,Greek water deities,Potamoi,
Q41746,Achilles,Greek mythological hero,Mythological Greek Character,[],male,"['Pelides', 'Peleiades', 'Achilleus']",,,Mythological Greek Character,,,,
Q340545,Achlys,primordial deity in Greek mythology,Greek primordial deity,[],female,['Akhlys'],,https://www.theoi.com/Daimon/Akhlys.html,Mythological Greek Character,Greek deity,Greek primordial deity,,
Q419156,Acis,person from Greek mythology,Mythological Greek Character,['Jaci'],male,[],,https://www.theoi.com/Potamos/PotamosAkis.html,Mythological Greek Character,,,,
Q420533,Acontius,character in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q208017,Acrisius,Greek mythical king of Argos,Mythological Greek Character,[],male,['Akrisios'],,,Mythological Greek Character,,,,
Q208531,Actaeon,son of Aristaeus in Greek mythology,Mythological Greek Character,[],male,"['Aktaion', 'Actæon']",,,Mythological Greek Character,,,,
Q2657834,Actis,mythical son of Helius,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2473937,Actor,"Son of Deion, figure of Greek mythology",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2718640,Adamanthea,,Greek nymph,[],female,['Adamantae'],,,Mythological Greek Character,Greek deity,Greek nymph,,
Q356321,Adephagia,Greek goddess and personification of gluttony,allegorical Greek deity,[],female,[],,https://www.theoi.com/Daimon/Adephagia.html,Mythological Greek Character,Greek deity,allegorical Greek deity,,
Q2824393,Adikia,personification of injustice and wrong doing; her parents might be either Nyx or Eris,allegorical Greek deity,[],female,[],,https://www.theoi.com/Daimon/Adikia.html,Mythological Greek Character,Greek deity,allegorical Greek deity,,
Q192109,Admetus,"king of Pherae in Thessaly, in Greek mythology",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q163920,Adonis,Greek god of beauty and desire,Greek deity,"['beauty', 'desire']",male,[],,,Mythological Greek Character,Greek deity,,,
Q366533,Adranus,Sicilian fire deity,Greek deity,[],male,['Adranos'],,,Mythological Greek Character,Greek deity,,,
Q4057954,Adrasteia,Greek nymph,Greek nymph,[],female,"['Adrastea', 'Adrasta']",,https://www.theoi.com/Nymphe/NymphaiIdaiai.html,Mythological Greek Character,Greek deity,Greek nymph,,
Q223152,Adrastus,mythological king of Argos,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q206187,Aeacus,son of Zeus in Greek mythology,Mythological Greek Character,[],male,"['Eacus', 'Æacus']",,https://www.theoi.com/Khthonios/Rhadamanthys.html,Mythological Greek Character,,,,
Q41311,Aegiale,"in Greek mythology, daughter of Adrastus married to Diomedes",Mythological Greek Character,[],female,"['Euryaleia', 'Aigialea']",,,Mythological Greek Character,,,,
Q404326,Aegimius,mythical character,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q321298,Aegina,"nymph, eponym of the island Aegina",Greek nymph,[],female,[],,https://www.theoi.com/Nymphe/NympheAigina.html,Mythological Greek Character,Greek deity,Greek nymph,,
Q3088918,Aegipan,son of Apollo in Greek mythology,Mythological Greek Character,[],male,[],,https://www.theoi.com/Thaumasios/SatyroiLibyes.html,Mythological Greek Character,,,,
Q212091,Aegisthus,son of Thyestes in Greek mythology,Mythological Greek Character,[],male,"['Ægisthus', 'Aegisthos']",,,Mythological Greek Character,,,,
Q404844,Aegyptus,son of Belus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q82732,Aeneas,Trojan hero in Greco-Roman mythology,Mythological Greek Character,[],male,"['Eneas Ysgwyddwyn', 'Æneas']",,,Mythological Greek Character,,,,
Q172549,Aeolus,"god of winds, son of Hippotes in Greek mythology",Greek deity,[],male,"['Æolus', 'Eolus', 'Aeolus']",,https://www.theoi.com/Titan/Aiolos.html,Mythological Greek Character,Greek deity,,,
Q406434,Aepytus,"Greek mythological figure, son of Elatus",Mythological Greek Character,[],male,['Aepytus I of Arcadia'],,,Mythological Greek Character,,,,
Q3844469,Aergia,"Ancient Greek goddess, the personification of sloth and laziness",allegorical Greek deity,[],female,[],,https://www.theoi.com/Daimon/Aergia.html,Mythological Greek Character,Greek deity,allegorical Greek deity,,
Q508543,Aerope,"daughter of Catreus, the king of Crete",Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q409520,Aesacus,son of Priam in Greek mythology,Mythological Greek Character,[],male,['Aisakos'],,,Mythological Greek Character,,,,
Q410082,Aeson,father of Jason in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q410417,Aethalides,mythical son of Hermes,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q189175,Aether,"primordial Greek deity, personification of the upper air",Greek primordial deity,[],male,[],,https://www.theoi.com/Protogenos/Aither.html,Mythological Greek Character,Greek deity,Greek primordial deity,,
Q1767884,Aethilla,"Greek mythical character, daughter of Laomedon",Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q381931,Aethlius,son of Zeus in Greek mythology,Mythological Greek Character,[],male,['Ethalion'],,,Mythological Greek Character,,,,
Q11921121,Aethra,mother of Theseus,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q634575,Aetna,"Sicilian nymph, connected to Mount Etna",Greek nymph,[],female,['Aitne'],,https://www.theoi.com/Georgikos/OrosAitna.html,Mythological Greek Character,Greek deity,Greek nymph,,
Q410748,Aetolus,"mythical character, son of Endymion",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q241971,Aeëtes,son of Helios in Greek mythology,Mythological Greek Character,[],male,"['Æetis', 'Aeetis', 'Æetes', 'Aeetes']",,,Mythological Greek Character,,,,
Q390348,Agamede,daughter of Augeias,Mythological Greek Character,[],female,[],,https://www.theoi.com/Heroine/Agamede.html,Mythological Greek Character,,,,
Q390363,Agamedes,"mythical character, builder of temple at Delphi",Mythological Greek Character,[],male,['Agamedes'],,,Mythological Greek Character,,,,
Q128176,Agamemnon,son of Atreus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q390448,Aganippe,nymph,Greek nymph,[],female,[],,https://www.theoi.com/Nymphe/NympheAganippe.html,Mythological Greek Character,Greek deity,Greek nymph,,
Q390492,Agapenor,son of Ancaeus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2723619,Agasthenes,"son of Augeas, and his successor in the kingdom of Elis",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q391553,Agathodaemon,mythological serpent,daemon,[],male,"['Agathos daemon', 'Agathodaimon', 'Bonus Deus']",,,Mythological Greek Character,Greek deity,daemon,,
Q381459,Agave,daughter of Cadmus in Greek mythology,Greek water deities,[],female,['Agaue'],,,Mythological Greek Character,Greek deity,Greek water deities,,
Q392120,Agdistis,"deity of Greek, Roman and Anatolian mythology",Greek deity,[],hermaphroditism,[],,https://www.theoi.com/Phrygios/Agdistis.html,Mythological Greek Character,Greek deity,,,
Q392631,Agenor,"mythical Phoenician king, father of Cadmus",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q393054,Agesilaus I,king of the Agiad line at Sparta,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q394074,Agis I,King of Sparta,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q4439972,Aglaea,one of the Graces (Charites) in Greek mythology,Greek deity,[],female,['Aglaia'],,https://www.theoi.com/Ouranios/KharisAglaia.html,Mythological Greek Character,Greek deity,,,
Q368994,Aglauros,"Greek mythical character, daughter of Actaeus",Mythological Greek Character,[],female,['Agraulis'],,,Mythological Greek Character,,,,
Q584492,"Aglaurus, daughter of Cecrops",daughter of Cecrops I in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q2714550,Agron,king of Lydia,Mythological Greek Character,[],male,['Agron of Lydia'],,,Mythological Greek Character,,,,
Q404076,Aidos,Greek goddess of shame,Greek deity,[],female,[],,https://www.theoi.com/Daimon/Aidos.html,Mythological Greek Character,Greek deity,,,
Q172725,Ajax the Great,son of Telamon in Greek mythology,Mythological Greek Character,[],male,"['Telamonian Ajax', 'Ajax son of Telamon', 'Aias of Salamis', 'Aias', 'Ajax']",,,Mythological Greek Character,,,,
Q415017,Akademos,mythical hero venerated in Athens,Mythological Greek Character,[],male,"['Hecademus', 'Academus']",,,Mythological Greek Character,,,,
Q391089,Alala,Personification of the war cry in Greek mythology,daemon,['battle cry'],female,[],,https://www.theoi.com/Daimon/Alala.html,Mythological Greek Character,Greek deity,daemon,,
Q575250,Alalcomenes,"Ancient Greek mythological figure, eponymous founder of Alalcomenae",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q576123,Alastor,Greek punitive deity,daemon,[],male,['Alastor'],,https://www.theoi.com/Daimon/Alastor.html,Mythological Greek Character,Greek deity,daemon,,
Q1417968,Alcathous,"mythical character, son of Pelops",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q320449,Alcestis,daughter of Pelias in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q1132196,Alcidice,daughter of Aleus in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q2718542,Alcimede,"Greek mythological character, mother of Jason",Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q496595,Alcinous,"mythical character, King of the Phaeacians, son of Nausithous and brother of Rhexenor",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q1640434,Alcippe,"mythical character, daughter of Ares",Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q591089,Alcmaeon,mythical son of Amphiaraus,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q1258989,Alcmenes,Ruler of Sparta,Mythological Greek Character,[],male,"['Alcamenes of Sparta', 'Alkamenes']",,,Mythological Greek Character,,,,
Q763268,Alcyone,"Greek mythological figure; one of the Pleiades, daughters of Atlas",Greek nymph,[],female,[],,https://www.theoi.com/Nymphe/NympheAlkyone.html,Mythological Greek Character,Greek deity,Greek nymph,,
Q653681,Alcyoneus,giant in Greek mythology,Giants,[],male,"['Ἀλκυονεύς', 'Alkyoneus', 'Alcyoneus']",,https://www.theoi.com/Gigante/GiganteAlkyoneus.html,Mythological Greek Character,Greek deity,Giants,,
Q1643451,Alecto,ancient Greek mythological punisher of moral crimes,Mythological Greek Character,[],female,['Allecto'],,https://www.theoi.com/Khthonios/Erinyes.html,Mythological Greek Character,,,,
Q1469412,Alectryon,Greek mythical character,Mythological Greek Character,[],male,['Alektryon'],,,Mythological Greek Character,,,,
Q1166189,Aletes,"Greek mythical character, son of Aegisthus",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q1317994,Aletheia,personification of truth in ancient Greece,daemon,['truth'],female,['Veritas'],,https://www.theoi.com/Daimon/Aletheia.html,Mythological Greek Character,Greek deity,daemon,,
Q190543,Alkmene,mother of Heracles,Mythological Greek Character,[],female,"['Alcmena', 'Alcmene']",,,Mythological Greek Character,,,,
Q1471633,Aloeus,"Greek mythical character, son of Poseidon",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q657562,Alope,"mythical character, daughter of Kerkyon",Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q911084,Alpheus,river and river god in Greek mythology,Potamoi,['Alfeios'],male,[],,https://www.theoi.com/Potamos/PotamosAlpheios.html,Mythological Greek Character,Greek deity,Greek water deities,Potamoi,
Q440440,Althaea,mythical daughter of Thestius,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q440422,Althaemenes,son of Catreus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q107785,Amalthea,Oceanid of Greek mythology,Okeanid,[],female,[],,https://www.theoi.com/Ther/AixAmaltheia.html,Mythological Greek Character,Greek deity,Greek water deities,Oceanids,Okeanid
Q2466253,Amarynceus,son of Pyttius in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q474474,Ampelos,deity,satyr,[],male,[],,https://www.theoi.com/Georgikos/SatyrosAmpelos.html,Mythological Greek Character,satyr,,,
Q330584,Amphiaraus,mythical seer and king,Mythological Greek Character,[],male,[],,https://www.theoi.com/Khthonios/Amphiaraos.html,Mythological Greek Character,,,,
Q474854,Amphictyon,son of Deucalion in Greek mythology,Mythological Greek Character,[],male,['Amphictyon'],,,Mythological Greek Character,,,,
Q474888,Amphilochus,mythical son of Amphiaraus,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2718734,Amphinomus,"mythological Greek character, son of Nisos",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q242835,Amphion,mythical musician and ruler at Thebes,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q180222,Amphitrite,Oceanid or Nereid of Greek mythology,Okeanid,['sea'],female,['Salacia'],,https://www.theoi.com/Pontios/Amphitrite.html,Mythological Greek Character,Greek deity,Greek water deities,Oceanids,Okeanid
Q206214,Amphitryon,"figure in Greek mythology, husband of Alcmene",Mythological Greek Character,[],male,[],Thebes,,Mythological Greek Character,,,,
Q981302,Amphoterus,son of Alcmaeon in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q482039,Amyclas of Sparta,Greek mythological character; King of Sparta,Mythological Greek Character,[],male,['Amyclas'],,,Mythological Greek Character,,,,
Q697942,Amycus,"in Greek mythology, the king of the Bebryces, a mythical people in Bithynia",Mythological Greek Character,[],male,['Amykos'],,,Mythological Greek Character,,,,
Q482096,Amymone,daughter of Danaus in Greek mythology,Mythological Greek Character,[],female,[],,https://www.theoi.com/Nymphe/NympheAmymone.html,Mythological Greek Character,,,,
Q1172040,Amyntor,son of Ormenos and father of Phoenix,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q482134,Amythaon,son of Cretheus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q332246,Ananke,"personification of inevitability, compulsion and necessity in Greek mythology",Greek primordial deity,"['destiny', 'need']",female,"['Ἀνάγκη', 'Anangke', 'Anance', 'Anagke', 'Necessitas']",,https://www.theoi.com/Protogenos/Ananke.html,Mythological Greek Character,Greek deity,Greek primordial deity,,
Q488558,Anaxagoras,mythical king of Argos,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q488621,Anaxarete,mythical character,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q488703,Anaxo,daughter of Alcaeus in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q2446902,Ancaeus,"son of Lykourgos, Greek mythological figure",Mythological Greek Character,[],male,['Ankaios'],,,Mythological Greek Character,,,,
Q3615214,Anchiroe,naiad in Greek mythology,naiad,[],female,"['Anchinoë', 'Anchiroe']",,https://www.theoi.com/Nymphe/NympheAnkhinoe.html,Mythological Greek Character,Greek deity,Greek nymph,naiad,
Q211953,Anchises,son of Capys in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q512388,Androgeus,mythical son of Minos,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q19376,Andromache,wife of Hector in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q161582,Andromeda,Ethiopian princess in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q3564602,Andropompus,"Greek mythology character, father of King Melanthus",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2849878,Angelos,"deity in Greek mythology, daughter of Zeus and Hera",Greek deity,[],female,['Angelus'],,,Mythological Greek Character,Greek deity,,,
Q374275,Anius,mythical king of Delos,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q272006,Antaeus,giant in Greek and Berber mythology,Mythological Greek Character,[],male,['Antæus'],,https://www.theoi.com/Gigante/GiganteAntaios.html,Mythological Greek Character,,,,
Q571969,Antenor,mythical Trojan hero,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q572133,Anteros,The God of Selfless Love in Greek mythology,Greek deity,[],male,[],,https://www.theoi.com/Ouranios/ErosAnteros.html,Mythological Greek Character,Greek deity,,,
Q3312821,Antheia,"one of the Charites, or Graces, of Greek mythology",Greek deity,[],female,[],,https://www.theoi.com/Ouranios/Kharites.html,Mythological Greek Character,Greek deity,,,
Q576170,Anticlea,mother of Odysseus,Mythological Greek Character,[],female,['Anticleia'],,,Mythological Greek Character,,,,
Q576282,Anticlus,"mythical Greek fighter at Troy, throttled by Odysseus",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q131351,Antigone,mythical daughter of Oedipus and Jocasta,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q575456,Antigone of Troy,daughter of Laomedon in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q577552,Antilochus,"mythological prince, son of Nestor",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q579000,Antinous son of Eupeithes,mythical suitor of Penelope in the Odyssey,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q427171,Antiphates,mythical king of the Laestrygones,Mythological Greek Character,[],male,[],,https://www.theoi.com/Gigante/GigantesLaistrygones.html,Mythological Greek Character,,,,
Q614030,Anytos,deity,titan,[],male,[],,https://www.theoi.com/Georgikos/KoureteAnytos.html,Mythological Greek Character,Greek deity,titan,,
Q176283,Aoide,one of the three original Boeotian muses in Greek mythology,Mythological Greek Character,[],female,[],Mount Helicon,,Mythological Greek Character,,,,
Q617977,Apate,"Minor goddess in Greek mythology, personification of deceit",allegorical Greek deity,['lie'],female,['Deceit'],,https://www.theoi.com/Daimon/Apate.html,Mythological Greek Character,Greek deity,allegorical Greek deity,,
Q618175,Apemosyne,daughter of Catreus in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q578378,Aphareus,"Greek mythological character, son of Perieres",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q3606201,Apheidas,"Greek mythological figure, son of Arcas",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q35500,Aphrodite,"Greek goddess of love, beauty, pleasure, and procreation",Olympian god,"['beauty', 'love']",female,"['Erycina', 'Cytherea', 'Venus']",Olympus,https://www.theoi.com/Olympios/Aphrodite.html,Mythological Greek Character,Greek deity,Olympian god,,
Q1247904,Aphroditus,Greek deity,Greek deity,[],male,[],,,Mythological Greek Character,Greek deity,,,
Q618662,Apis,king of Argos in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q37340,Apollo,god in Greek and later Roman mythology,Olympian god,[],male,"['Apollōn', 'Aploun', 'Apellōn', 'Apeilōn', 'Phoebus', 'Apollon', 'Mogounos', 'Mogons']",Olympus,https://www.theoi.com/Olympios/Apollon.html,Mythological Greek Character,Greek deity,Olympian god,,
Q190082,Arachne,Mythological weaver who was transformed into a spider,Mythological Greek Character,[],female,[],,https://www.theoi.com/Heroine/Arakhne.html,Mythological Greek Character,,,,
Q606422,Arcas,son of Callisto in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2860691,Arcesilaus,son of Archilycus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q673432,Arcesilaus I of Cyrene,early 6th-century BC king of Cyrenaica,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2294502,Arcesius,legendary king of Ithaca,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q632592,Archelaus of Sparta,"king of Sparta, son of Agesilaus I",Mythological Greek Character,[],male,['Archelaus'],,,Mythological Greek Character,,,,
Q1330702,Archelochus,"mythical Greek character, son of Antenor",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q633041,Archias of Corinth,"Mythological founder of Syracuse, Sicily",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q40901,Ares,Greek god of war,Olympian god,['war'],male,"['Roman god Mars', 'Mars (mythology)', 'god Mars', 'Mars']",,https://www.theoi.com/Olympios/Ares.html,Mythological Greek Character,Greek deity,Olympian god,,
Q265823,Arete,"concept in Greek philosophy meaning ""excellence of any kind"" or ""moral virtue"", ultimately bound up, in its earliest appearance in Greek, with the notion of the fulfillment of purpose or function (the act of living up to one's full potential)",Greek deity,[],,[],,https://www.theoi.com/Daimon/Arete.html,Mythological Greek Character,Greek deity,,,
Q643456,Arethusa,nymph in Greek mythology who fled from the river god Alpheus,Greek nymph,[],female,['Arethusa'],,https://www.theoi.com/Nymphe/NympheArethousa.html,Mythological Greek Character,Greek deity,Greek nymph,,
Q644030,Argalus,King of Sparta,Mythological Greek Character,[],male,['Harpalus'],,,Mythological Greek Character,,,,
Q644385,Argea,"mythological Greek character, daughter of Adrastus and wife of Polynices",Mythological Greek Character,[],female,['Argeia'],,,Mythological Greek Character,,,,
Q420269,Arges,cyclops in Greek mythology,cyclops,[],male,"['Pyraemon', 'Acmonides']",,,Mythological Greek Character,cyclops,,,
Q189821,Argus Panoptes,giant with hundred eyes in Greek mythology,Mythological Greek Character,[],male,"['Panoptes', 'Argus']",,https://www.theoi.com/Gigante/GiganteArgosPanoptes.html,Mythological Greek Character,,,,
Q184874,Ariadne,the daughter of Minos in Greek mythology,Mythological Greek Character,[],female,['Ariane'],,https://www.theoi.com/Georgikos/Ariadne.html,Mythological Greek Character,,,,
Q392435,Aristaeus,minor god in Greek mythology,Greek deity,[],male,"['Aristæus', 'Aristaios', 'Veteris']",,https://www.theoi.com/Georgikos/Aristaios.html,Mythological Greek Character,Greek deity,,,
Q666525,Aristodemus,one of the Heracleidae in Greek mythology,Mythological Greek Character,[],male,['Aristodemos'],,,Mythological Greek Character,,,,
Q666652,Aristokrates,"Arcadian king, from Orchomenus",Mythological Greek Character,[],male,"['Aristocrates of Orchomenus', 'Aristocrates II', 'Aristocrates']",,,Mythological Greek Character,,,,
Q311536,Aristomachus,"one of the Heracleidae, a great-grandson of Heracles",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q4069374,Arke,Greek goddess,Greek deity,[],female,['Arce'],,https://www.theoi.com/Pontios/Arke.html,Mythological Greek Character,Greek deity,,,
Q4794415,Arnaeus,character from Greek mythology,Mythological Greek Character,[],male,['Irus'],,,Mythological Greek Character,,,,
Q39503,Artemis,goddess of the hunt and the wild in ancient Greek religion and mythology,Olympian god,[],female,['Diana'],,https://www.theoi.com/Olympios/Artemis.html,Mythological Greek Character,Greek deity,Olympian god,,
Q660196,Ascalaphus,son of Ares in Greek mythology,Mythological Greek Character,[],male,[],,https://www.theoi.com/Khthonios/Askalaphos.html,Mythological Greek Character,,,,
Q655566,Ascanius,legendary founder of Alba Longa,Mythological Greek Character,[],male,"['Askanios', 'Julus', 'Iulus']",,,Mythological Greek Character,,,,
Q83223,Asclepius,Greek god of medicine,Greek deity,[],male,"['Ἀσκληπιός', 'Asklēpiós', 'Æsculapius', 'Aesculapius']",,https://www.theoi.com/Ouranios/Asklepios.html,Mythological Greek Character,Greek deity,,,
Q605744,Asia,Oceanid of Greek mythology,Okeanid,[],female,[],,https://www.theoi.com/Nymphe/NympheAsie.html,Mythological Greek Character,Greek deity,Greek water deities,Oceanids,Okeanid
Q622781,Asopus,river god of Greek mythology,Potamoi,['Asopos'],male,[],,https://www.theoi.com/Potamos/PotamosAsopos.html,Mythological Greek Character,Greek deity,Greek water deities,Potamoi,
Q739359,Assaracus,son of Tros in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q18642285,Asteria,daughter of the Titans Coeus and Phoebe and sister of Leto,titan,[],female,[],,https://www.theoi.com/Titan/TitanisAsteria.html,Mythological Greek Character,Greek deity,titan,,
Q748909,Asteropaios,son of Pelegon in Greek mythology,Mythological Greek Character,[],male,['Asteropaeus'],,,Mythological Greek Character,,,,
Q250588,Astraeus,Greek astrological god associated with winds,titan,[],male,['Astraios'],,,Mythological Greek Character,Greek deity,titan,,
Q334787,Astyanax,mythical son of Hector,Mythological Greek Character,[],male,['Scamandrius'],,,Mythological Greek Character,,,,
Q371206,Astypalaea,lover of Poseidon in Greek mythology,Mythological Greek Character,[],female,[],,,Mythological Greek Character,,,,
Q190323,Atalanta,"Greek mythological character, the only female Argonaut",Mythological Greek Character,[],female,['Atalante'],,https://www.theoi.com/Heroine/Atalanta.html,Mythological Greek Character,,,,
Q143880,Athamas,son of Minyas or Aeolus in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
